id,game,name,lane,slot,type,rarity,tier,cost,phrase,description,flavor,keywords,scale_by,damage,damage_multiplier,damage_type,stat_contribution,block,card_draw,self_damage,status_effects_applied,summon,feed_key,mechanics,modifier_kind,raw_json
wv2-i-by-any-measure,Witch Mountain Bridge,"By any measure,",wit,intro,word,common,1,0,"By any measure,",+1 wit,"Most measures, anyway. Certainly the kind one.",academic|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-i-by-any-measure"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""By any measure,"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""flavor"":""Most measures, anyway. Certainly the kind one.""}"
wv2-i-speaking-plainly,Witch Mountain Bridge,"Speaking plainly,",wit,intro,word,common,1,2,"Speaking plainly,",+1 wit. Apply vulnerable:1,Plainness is the most decorated of the rhetorical arts.,cutting|observational,,,,,1,,,,vulnerable:1,,,,,"{""id"":""wv2-i-speaking-plainly"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":2,""type"":""word"",""phrase"":""Speaking plainly,"",""tags"":[""cutting"",""observational""],""stats"":{""wit"":1},""effects"":{""vulnerable"":1},""setId"":""slowburn-5"",""setSlot"":""intro"",""schoolId"":""slowburn"",""flavor"":""Plainness is the most decorated of the rhetorical arts.""}"
wv2-i-or-rather,Witch Mountain Bridge,"Or rather,",wit,intro,word,common,1,0,"Or rather,",+1 wit. Draw 1,The revision is the point. The original was scaffolding.,observational,,,,,1,,1,,,,,,,"{""id"":""wv2-i-or-rather"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Or rather,"",""tags"":[""observational""],""stats"":{""wit"":1},""effects"":{""draw"":1},""setId"":""thorns-3"",""setSlot"":""intro"",""schoolId"":""thorns"",""flavor"":""The revision is the point. The original was scaffolding.""}"
wv2-i-it-would-appear,Witch Mountain Bridge,It would appear that,wit,intro,word,common,1,0,It would appear that,+1 wit,"Appearances, in matters like this, are the entire substance.",observational|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-i-it-would-appear"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""It would appear that"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":1},""flavor"":""Appearances, in matters like this, are the entire substance.""}"
wv2-i-being-honest,Witch Mountain Bridge,"If we're being honest,",wit,intro,word,common,1,0,"If we're being honest,",+1 wit. Draw 1. Lose 1 HP,The we is presumptuous. It always is.,cutting,,,,,1,,1,1,,,,,,"{""id"":""wv2-i-being-honest"",""schoolId"":""crescendo"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""If we're being honest,"",""tags"":[""cutting""],""stats"":{""wit"":1},""effects"":{""draw"":1,""loseHp"":1},""flavor"":""The we is presumptuous. It always is.""}"
wv2-i-one-could-argue,Witch Mountain Bridge,One could argue that,wit,intro,word,common,1,0,One could argue that,+1 wit,One could. One won't have to.,academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-i-one-could-argue"",""schoolId"":""crescendo"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""One could argue that"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""flavor"":""One could. One won't have to.""}"
wv2-i-let-the-record,Witch Mountain Bridge,Let the record show that,wit,intro,word,common,1,0,Let the record show that,+1 wit,There is no record. The phrasing is the record.,academic,,,,,1,,,,,,,,,"{""id"":""wv2-i-let-the-record"",""schoolId"":""crescendo"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""Let the record show that"",""tags"":[""academic""],""stats"":{""wit"":1},""flavor"":""There is no record. The phrasing is the record.""}"
wv2-i-as-i-was-saying,Witch Mountain Bridge,"as I was saying,",wit,intro,word,common,1,0,"as I was saying,",+1 wit,"The thread, after all, was never broken — only set aside briefly.",academic,,,,,1,,,,,,,,,"{""id"":""wv2-i-as-i-was-saying"",""schoolId"":""crescendo"",""slot"":""intro"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":0,""type"":""word"",""phrase"":""as I was saying,"",""tags"":[""academic""],""stats"":{""wit"":1},""flavor"":""The thread, after all, was never broken — only set aside briefly.""}"
wv2-i-permit-me-observe,Witch Mountain Bridge,Permit me to observe that,wit,intro,word,uncommon,2,1,Permit me to observe that,+2 wit,"Observation, in this dialect, is a verb that lands.",academic|observational,,,,,2,,,,,,,,,"{""id"":""wv2-i-permit-me-observe"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""Permit me to observe that"",""tags"":[""academic"",""observational""],""stats"":{""wit"":2},""setId"":""slowburn-2"",""setSlot"":""intro"",""schoolId"":""slowburn"",""flavor"":""Observation, in this dialect, is a verb that lands.""}"
wv2-i-charitable,Witch Mountain Bridge,"Were I being charitable,",wit,intro,word,uncommon,2,1,"Were I being charitable,",+2 wit,Charity is a discipline. You may not be ready for it.,observational|cutting,,,,,2,,,,,,,,,"{""id"":""wv2-i-charitable"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""Were I being charitable,"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":2},""flavor"":""Charity is a discipline. You may not be ready for it.""}"
wv2-i-setting-aside,Witch Mountain Bridge,"Setting aside the obvious,",wit,intro,word,uncommon,2,1,"Setting aside the obvious,",+2 wit,The obvious is a heavy thing. You leave it on the table for now.,academic|cutting,,,,,2,,,,,,,,,"{""id"":""wv2-i-setting-aside"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""Setting aside the obvious,"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":2},""setId"":""thorns-6"",""setSlot"":""intro"",""schoolId"":""thorns"",""flavor"":""The obvious is a heavy thing. You leave it on the table for now.""}"
wv2-i-if-records-trusted,Witch Mountain Bridge,"If the records can be trusted,",wit,intro,word,uncommon,2,1,"If the records can be trusted,",+2 wit,"They can. That is, in fact, the worst part.",academic|observational,,,,,2,,,,,,,,,"{""id"":""wv2-i-if-records-trusted"",""schoolId"":""crescendo"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""If the records can be trusted,"",""tags"":[""academic"",""observational""],""stats"":{""wit"":2},""flavor"":""They can. That is, in fact, the worst part.""}"
wv2-i-put-generously,Witch Mountain Bridge,"To put it generously,",wit,intro,word,uncommon,2,1,"To put it generously,",+2 wit,"Generosity, here, is an act of restraint. Witnessed.",observational|cutting,,,,,2,,,,,,,,,"{""id"":""wv2-i-put-generously"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""To put it generously,"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":2},""flavor"":""Generosity, here, is an act of restraint. Witnessed.""}"
wv2-i-purely-analytical,Witch Mountain Bridge,"From a purely analytical perspective,",wit,intro,word,uncommon,2,1,"From a purely analytical perspective,",+2 wit,The analysis is purely a courtesy. The conclusion arrived earlier.,academic|observational,,,,,2,,,,,,,,,"{""id"":""wv2-i-purely-analytical"",""schoolId"":""crescendo"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""From a purely analytical perspective,"",""tags"":[""academic"",""observational""],""stats"":{""wit"":2},""flavor"":""The analysis is purely a courtesy. The conclusion arrived earlier.""}"
wv2-i-reasonable-observer,Witch Mountain Bridge,"By the standards of any reasonable observer,",wit,intro,word,rare,3,1,"By the standards of any reasonable observer,",+3 wit,"Reasonable observers are a small population. You are, suddenly, one.",academic|cutting,,,,,3,,,,,,,,,"{""id"":""wv2-i-reasonable-observer"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":3,""rarity"":""rare"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""By the standards of any reasonable observer,"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":3},""flavor"":""Reasonable observers are a small population. You are, suddenly, one.""}"
wv2-i-full-possession,Witch Mountain Bridge,"And I say this with full possession of the facts,",wit,intro,word,rare,3,1,"And I say this with full possession of the facts,",+3 wit,The facts have been alphabetized. Indexed. Cross-referenced. Their footnotes have footnotes.,academic|cutting,,,,,3,,,,,,,,,"{""id"":""wv2-i-full-possession"",""schoolId"":""thorns"",""slot"":""intro"",""tier"":3,""rarity"":""rare"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""And I say this with full possession of the facts,"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":3},""flavor"":""The facts have been alphabetized. Indexed. Cross-referenced. Their footnotes have footnotes.""}"
wv2-i-fabric-merchant,Witch Mountain Bridge,"Over time,",wit,intro,word,uncommon,2,1,"Over time,",+2 wit,"The fabric merchant has, in fact, been waiting for the conclusion of that thought.",observational|academic,,,,,2,,,,,,,,,"{""id"":""wv2-i-fabric-merchant"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""Over time,"",""tags"":[""observational"",""academic""],""stats"":{""wit"":2},""setId"":""slowburn-1"",""setSlot"":""intro"",""schoolId"":""slowburn"",""flavor"":""The fabric merchant has, in fact, been waiting for the conclusion of that thought.""}"
wv2-i-specifically-speaking,Witch Mountain Bridge,"Specifically speaking,",wit,intro,word,uncommon,2,1,"Specifically speaking,",+2 wit,"Specificity, here, is a politeness. The general case is worse.",academic|cutting,,,,,2,,,,,,,,,"{""id"":""wv2-i-specifically-speaking"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""Specifically speaking,"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":2},""setId"":""thorns-1"",""setSlot"":""intro"",""schoolId"":""thorns"",""flavor"":""Specificity, here, is a politeness. The general case is worse.""}"
wv2-i-civically-speaking,Witch Mountain Bridge,"When you add it up,",wit,intro,word,uncommon,2,1,"When you add it up,",+2 wit,"Civic, here, being the only frame that contains the offence.",academic|observational,,,,,2,,,,,,,,,"{""id"":""wv2-i-civically-speaking"",""slot"":""intro"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""When you add it up,"",""tags"":[""academic"",""observational""],""stats"":{""wit"":2},""setId"":""crescendo-1"",""setSlot"":""intro"",""schoolId"":""crescendo"",""flavor"":""Civic, here, being the only frame that contains the offence.""}"
wv2-s-your-reasoning,Witch Mountain Bridge,your reasoning,wit,subject,word,basic,1,1,your reasoning,+1 wit,"Reasoning, in this case, having done its part by trying.",academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-s-your-reasoning"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""your reasoning"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""flavor"":""Reasoning, in this case, having done its part by trying.""}"
wv2-s-this-argument,Witch Mountain Bridge,this argument,wit,subject,word,basic,1,1,this argument,+1 wit,"The argument, taken on its own terms, having arrived too sure of itself.",academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-s-this-argument"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""this argument"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""flavor"":""The argument, taken on its own terms, having arrived too sure of itself.""}"
wv2-s-your-conclusion,Witch Mountain Bridge,your conclusion,wit,subject,word,basic,1,1,your conclusion,+1 wit,The conclusion is the part that didn't survive the road.,academic|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-s-your-conclusion"",""schoolId"":""thorns"",""slot"":""subject"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""your conclusion"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""flavor"":""The conclusion is the part that didn't survive the road.""}"
wv2-s-your-sources,Witch Mountain Bridge,your sources,wit,subject,word,basic,1,2,your sources,+1 wit. Apply weak:1,"Where they go is not, strictly, anyone's concern. But they go somewhere.",academic|cutting,,,,,1,,,,weak:1,,,,,"{""id"":""wv2-s-your-sources"",""schoolId"":""slowburn"",""slot"":""subject"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":2,""type"":""word"",""phrase"":""your sources"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""effects"":{""weak"":1},""flavor"":""Where they go is not, strictly, anyone's concern. But they go somewhere.""}"
wv2-s-the-matter,Witch Mountain Bridge,the matter at hand,wit,subject,word,basic,1,1,the matter at hand,+1 wit,The matter has been at hand for some time. It is patient.,observational,,,,,1,,,,,,,,,"{""id"":""wv2-s-the-matter"",""schoolId"":""slowburn"",""slot"":""subject"",""tier"":1,""rarity"":""basic"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the matter at hand"",""tags"":[""observational""],""stats"":{""wit"":1},""flavor"":""The matter has been at hand for some time. It is patient.""}"
wv2-s-your-dissertation,Witch Mountain Bridge,your dissertation,wit,subject,word,common,1,1,your dissertation,+1 wit,"Bound, defended, and from this distance — undamaged.",academic|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-s-your-dissertation"",""schoolId"":""thorns"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""your dissertation"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""flavor"":""Bound, defended, and from this distance — undamaged.""}"
wv2-s-this-entire-enterprise,Witch Mountain Bridge,this entire enterprise,wit,subject,word,common,1,1,this entire enterprise,+1 wit,The word entire being asked to do unusual lifting today.,cutting|observational,,,,,1,,,,,,,,,"{""id"":""wv2-s-this-entire-enterprise"",""schoolId"":""thorns"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""this entire enterprise"",""tags"":[""cutting"",""observational""],""stats"":{""wit"":1},""flavor"":""The word entire being asked to do unusual lifting today.""}"
wv2-s-the-very-premise,Witch Mountain Bridge,the very premise,wit,subject,word,common,1,1,the very premise,+1 wit,Very is the most generous adverb in the philosophical lexicon.,academic|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-s-the-very-premise"",""schoolId"":""thorns"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the very premise"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""flavor"":""Very is the most generous adverb in the philosophical lexicon.""}"
wv2-s-your-standards,Witch Mountain Bridge,your standards,wit,subject,word,common,1,1,your standards,+1 wit,"They are, at the very least, your own.",academic|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-s-your-standards"",""schoolId"":""thorns"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""your standards"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""flavor"":""They are, at the very least, your own.""}"
wv2-s-your-taste,Witch Mountain Bridge,your argument,wit,subject,word,common,1,2,your argument,+1 wit. Apply vulnerable:1,"Taste is a private matter that has, unfortunately, become public.",observational|cutting,,,,,1,,,,vulnerable:1,,,,,"{""id"":""wv2-s-your-taste"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":2,""type"":""word"",""phrase"":""your argument"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":1},""effects"":{""vulnerable"":1},""setId"":""slowburn-1"",""setSlot"":""subject"",""schoolId"":""slowburn"",""flavor"":""Taste is a private matter that has, unfortunately, become public.""}"
wv2-s-sheer-academic,Witch Mountain Bridge,the sheer academic of the thing,wit,subject,word,uncommon,2,1,the sheer academic of the thing,+2 wit,"Academic, here, being a verb. Spoken academically.",academic|cutting,,,,,2,,,,,,,tagAmpMult,,"{""id"":""wv2-s-sheer-academic"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the sheer academic of the thing"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":2},""tagAmpMult"":2,""flavor"":""Academic, here, being a verb. Spoken academically.""}"
wv2-s-your-hidden-defenses,Witch Mountain Bridge,your hidden defenses,wit,subject,word,uncommon,2,1,your hidden defenses,+2 wit,"The defenses, on inspection, were ornamental. Useful to neither party.",observational|cutting,,,,,2,,,,,,,,,"{""id"":""wv2-s-your-hidden-defenses"",""schoolId"":""thorns"",""slot"":""subject"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""your hidden defenses"",""tags"":[""observational"",""cutting""],""stats"":{""wit"":2},""effects"":{""stealBlock"":{""strip"":5,""gain"":3}},""flavor"":""The defenses, on inspection, were ornamental. Useful to neither party.""}"
wv2-s-the-syllabus,Witch Mountain Bridge,the syllabus,wit,subject,word,common,1,1,the syllabus,+1 wit. Draw 1,"A reading list, in the older and more honest sense.",academic|cutting,,,,,1,,1,,,,,,,"{""id"":""wv2-s-the-syllabus"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the syllabus"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""effects"":{""draw"":1},""flavor"":""A reading list, in the older and more honest sense.""}"
wv2-s-the-bibliography,Witch Mountain Bridge,the bibliography you've assembled,wit,subject,word,common,1,1,the bibliography you've assembled,+1 wit,"Assembled, here, being a polite word for collected and shrugged at.",academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-s-the-bibliography"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the bibliography you've assembled"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""flavor"":""Assembled, here, being a polite word for collected and shrugged at.""}"
wv2-s-your-central-thesis,Witch Mountain Bridge,your central thesis,wit,subject,word,common,1,1,your central thesis,+1 wit,"Centrality is a function of geometry. Theses, of bone structure.",academic|cutting,,,,,1,,,,,,,,,"{""id"":""wv2-s-your-central-thesis"",""schoolId"":""thorns"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""your central thesis"",""tags"":[""academic"",""cutting""],""stats"":{""wit"":1},""flavor"":""Centrality is a function of geometry. Theses, of bone structure.""}"
wv2-s-foundation,Witch Mountain Bridge,the very foundation of your argument,wit,subject,word,common,1,1,the very foundation of your argument,+1 wit,"Foundations being load-bearing is, again, a generous reading.",academic,,,,,1,,,,,,,,,"{""id"":""wv2-s-foundation"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the very foundation of your argument"",""tags"":[""academic""],""stats"":{""wit"":1},""flavor"":""Foundations being load-bearing is, again, a generous reading.""}"
wv2-s-your-methodology,Witch Mountain Bridge,your methodology,wit,subject,word,common,1,1,your methodology,+1 wit,"Method, ology, and the silence between them.",academic,,,,,1,,,,,,,,,"{""id"":""wv2-s-your-methodology"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""your methodology"",""tags"":[""academic""],""stats"":{""wit"":1},""flavor"":""Method, ology, and the silence between them.""}"
wv2-s-so-called-proof,Witch Mountain Bridge,this so-called proof,wit,subject,word,common,1,1,this so-called proof,+1 wit,So-called by the kindest among us. The rest have other words.,academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-s-so-called-proof"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""this so-called proof"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""flavor"":""So-called by the kindest among us. The rest have other words.""}"
wv2-s-conclusions-drawn,Witch Mountain Bridge,the conclusions you've drawn,wit,subject,word,common,1,1,the conclusions you've drawn,+1 wit,"Drawn the way water is — that is, with effort, and not for long.",academic|observational,,,,,1,,,,,,,,,"{""id"":""wv2-s-conclusions-drawn"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":1,""rarity"":""common"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the conclusions you've drawn"",""tags"":[""academic"",""observational""],""stats"":{""wit"":1},""flavor"":""Drawn the way water is — that is, with effort, and not for long.""}"
wv2-s-elaborate-edifice,Witch Mountain Bridge,the elaborate edifice of your reasoning,wit,subject,word,uncommon,2,1,the elaborate edifice of your reasoning,+2 wit,"Elaborate, in architecture, often signals load-bearing fashion.",academic|observational,,,,,2,,,,,,,,,"{""id"":""wv2-s-elaborate-edifice"",""schoolId"":""crescendo"",""slot"":""subject"",""tier"":2,""rarity"":""uncommon"",""lane"":""wit"",""cost"":1,""type"":""word"",""phrase"":""the elaborate edifice of your reasoning"",""tags"":[""academic"",""observational""],""stats"":{""wit"":2},""flavor"":""Elaborate, in architecture, often signals load-bearing fashion.""}"
